nome,sigla,orgao,endereco,lat,lon,fonte,libras,selo,capacitado,itens,acess,n_itens,data,RA
Ouvidoria – INAS,INAS,Instituto de Assistência à Saúde dos Servidores do DF (INAS),Endereço a confirmar (Plano Piloto),-15.79478076,-47.89359363,validado,Não,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade', 'Equipe capacitada em acessibilidade']",4,2025,Plano Piloto
Ouvidoria – PROCON,PROCON,Instituto de Defesa do Consumidor do DF (PROCON),"SCS Quadra 8, Bloco B-60, Sala 240, Venâncio Shopping, Plano Piloto, Brasília - DF, 70333-900",-15.7975,-47.8889,validado,Não,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Banheiro adaptado']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Banheiro adaptado', 'Equipe capacitada em acessibilidade']",5,2025,Plano Piloto
Ouvidoria – IPREV,IPREV,Instituto de Previdência dos Servidores do DF (IPREV),"SCS Quadra 9, Bloco A, Edifício Parque Cidade Corporate, Torre B, 2º andar, Plano Piloto, Brasília - DF, 70308-200",-15.7997,-47.8906,validado,Não,Sim,Sim,"['Corrimão nas escadas', 'Piso tátil', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade']","['Corrimão nas escadas', 'Piso tátil', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade', 'Equipe capacitada em acessibilidade']",5,2025,Plano Piloto
Ouvidoria – JBB,JBB,Jardim Botânico de Brasília (JBB),"SMDB Conjunto 12, Lago Sul, Brasília - DF, 71680-001",-15.8714,-47.8344,validado,Não,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade', 'Equipe capacitada em acessibilidade']",4,2025,Jardim Botânico
Ouvidoria – JUCIS-DF,JUCIS-DF,"Junta Comercial, Industrial e de Serviços do Distrito Federal (JUCIS)",SAAN (endereço a confirmar),-15.78799563,-47.88389821,validado,Não,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão nas escadas', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão nas escadas', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade', 'Equipe capacitada em acessibilidade']",6,2025,Plano Piloto
Ouvidoria – PCDF,PCDF,Polícia Civil (PCDF),"Complexo da Polícia Civil, SPO Lote 23, Conjunto A, Plano Piloto, Brasília - DF, 70610-901",-15.8164,-47.9403,validado,Não,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Piso tátil', 'Banheiro adaptado']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Piso tátil', 'Banheiro adaptado', 'Equipe capacitada em acessibilidade']",6,2025,Plano Piloto
Ouvidoria – PMDF,PMDF,Polícia Militar (PMDF),"Quartel do Comando Geral (QCG), SPO Área Especial 4, Plano Piloto, Brasília - DF, 70610-200",-15.8208,-47.9406,validado,Não,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão nas escadas', 'Piso antiderrapante', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão nas escadas', 'Piso antiderrapante', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade', 'Equipe capacitada em acessibilidade']",5,2025,Plano Piloto
Ouvidoria – PGDF,PGDF,Procuradoria-Geral do Distrito Federal (PGDF),"SAM, Bloco I, Ed. Sede PGDF",-15.7825887,-47.90656396,validado,Não,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão nas escadas', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão nas escadas', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade', 'Equipe capacitada em acessibilidade']",5,2025,Plano Piloto
Ouvidoria – SEAGRI,SEAGRI,"Secretaria de Estado da Agricultura, Abastecimento e Desenvolvimento Rural","Parque Estação Biológica (PqEB), Ed. Sede SEAGRI",-15.7335695,-47.90597413,validado,Não,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão nas escadas', 'Piso tátil', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão nas escadas', 'Piso tátil', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade', 'Equipe capacitada em acessibilidade']",6,2025,Plano Piloto
Ouvidoria – SSP-DF,SSP-DF,Secretaria de Estado da Segurança Pública,"SAM, Conjunto A, Bloco A",-15.78084722,-47.90877412,validado,Sim,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão nas escadas', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão nas escadas', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade', 'Atendimento presencial em Libras', 'Equipe capacitada em acessibilidade']",5,2025,Plano Piloto
Ouvidoria – SEAPE,SEAPE,Secretaria de Estado de Administração Penitenciária,Sede SEAPE (SCIA),-15.80049189,-47.88336233,validado,Não,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Corrimão nas escadas', 'Piso tátil', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade']","['Estacionamento com vaga reservada para PCD', 'Corrimão nas escadas', 'Piso tátil', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade', 'Equipe capacitada em acessibilidade']",6,2025,Plano Piloto
Ouvidoria – SEAÀC,SEAÀC,Secretaria de Estado de Atendimento à comunidade,"Palácio do Buriti, Anexo, 11º Andar, Praça do Buriti, Plano Piloto, Brasília - DF, 70075-900",-15.7836,-47.9078,validado,Sim,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão nas escadas', 'Piso tátil', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão nas escadas', 'Piso tátil', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade', 'Atendimento presencial em Libras', 'Equipe capacitada em acessibilidade']",6,2025,Plano Piloto
Ouvidoria – SECTI,SECTI,"Secretaria de Estado de Ciência, Tecnologia e Inovação","SCS Quadra 09, Bloco A, Lote 03, Edifício Parque Cidade Corporate, Torre C, 7º Andar, Plano Piloto, Brasília - DF, 70308-200",-15.7997,-47.8906,validado,Não,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Piso tátil', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Piso tátil', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade', 'Equipe capacitada em acessibilidade']",6,2025,Plano Piloto
Ouvidoria – SECOM,SECOM,Secretaria de Estado de Comunicação,"Anexo do Palácio do Buriti, Praça do Buriti",-15.78377,-47.90832,osm,Sim,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Piso tátil', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Piso tátil', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade', 'Atendimento presencial em Libras', 'Equipe capacitada em acessibilidade']",7,2025,Plano Piloto
Ouvidoria – SEDET,SEDET,"Secretaria de Estado de Desenvolvimento Econômico, Trabalho e Renda","SCS Quadra 02, Bloco C, Edifício Serra Dourada, Plano Piloto, Brasília - DF, 70300-902",-15.7969,-47.8864,validado,Não,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Piso tátil', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Piso tátil', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade', 'Equipe capacitada em acessibilidade']",8,2025,Plano Piloto
Ouvidoria – SEDS,SEDS,Secretaria de Estado de Desenvolvimento Social,"SEPN 515, Bloco A, Edifício OAS, Asa Norte, Plano Piloto, Brasília - DF, 70770-501",-15.7533,-47.8931,validado,Não,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade', 'Equipe capacitada em acessibilidade']",6,2025,Plano Piloto
Ouvidoria – SEEC,SEEC,Secretaria de Estado de Economia,"Anexo do Palácio do Buriti, Praça do Buriti",-15.78397476,-47.89034031,validado,Sim,Sim,Sim,['Banheiro adaptado'],"['Banheiro adaptado', 'Atendimento presencial em Libras', 'Equipe capacitada em acessibilidade']",1,2025,Plano Piloto
Ouvidoria – SEE,SEE,Secretaria de Estado de Educação,"SBN Quadra 02, Bloco C, Edifício Phenícia, Asa Norte, Plano Piloto, Brasília - DF, 70040-020",-15.7917,-47.8822,validado,Não,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade', 'Equipe capacitada em acessibilidade']",7,2025,Plano Piloto
Ouvidoria – SEL,SEL,Secretaria de Estado de Esporte e Lazer,"Centro de Convenções Ulysses Guimarães, SDC",-15.7874753,-47.878744,validado,Sim,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Piso tátil', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Piso tátil', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade', 'Atendimento presencial em Libras', 'Equipe capacitada em acessibilidade']",8,25/10/2024,Plano Piloto
Ouvidoria – SEG,SEG,Secretaria de Estado de Governo,"Palácio do Buriti, 16º Andar, Praça do Buriti, Plano Piloto, Brasília - DF, 70075-900",-15.7836,-47.9078,validado,Não,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Piso tátil', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Piso tátil', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade', 'Equipe capacitada em acessibilidade']",8,2025,Plano Piloto
Ouvidoria – SEJUS,SEJUS,Secretaria de Estado de Justiça e Cidadania,"Estação Rodoferroviária, Ala Norte",-15.77589322,-47.9406708,validado,Não,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Piso tátil', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Piso tátil', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade', 'Equipe capacitada em acessibilidade']",5,2025,SIA
Ouvidoria – SEM,SEM,Secretaria de Estado de Mulher,"Via S1, Praça do Buriti, Anexo do Palácio do Buriti, 8º Andar, Plano Piloto, Brasília - DF, 70075-900",-15.7836,-47.9078,validado,Sim,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Corrimão nas escadas', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade']","['Estacionamento com vaga reservada para PCD', 'Corrimão nas escadas', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade', 'Atendimento presencial em Libras', 'Equipe capacitada em acessibilidade']",4,2025,Plano Piloto
Ouvidoria – SODF,SODF,Secretaria de Estado de Obras e Infraestrutura,"Setor de Áreas Públicas (SAP), Lote B",-15.81566544,-47.95434351,validado,Sim,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade', 'Atendimento presencial em Libras', 'Equipe capacitada em acessibilidade']",5,2025,Guará
Ouvidoria – DF Legal,DF Legal,Secretaria de Estado de Proteção da Ordem Urbanística - DF Legal,"SIA Trecho 3, Lotes 1545/1555",-15.8008515,-47.96545199,validado,Não,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Piso tátil', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Piso tátil', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade', 'Equipe capacitada em acessibilidade']",8,2025,SIA
Ouvidoria – SES-DF,SES-DF,Secretaria de Estado de Saúde,"SRTVN Quadra 701, Ed. PO700",-15.78236303,-47.89015563,validado,Não,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Piso tátil', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Piso tátil', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade', 'Equipe capacitada em acessibilidade']",8,14/11/2024,Plano Piloto
Ouvidoria do Hospital Regional De Ceilandia,SES-DF · HRC,Secretaria de Estado de Saúde,"Area Especial, 1 – CEILANDIA SUL",-15.8154,-48.0963,shp,Sim,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Piso tátil', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Piso tátil', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade', 'Atendimento presencial em Libras', 'Equipe capacitada em acessibilidade']",8,2025,Ceilândia
Ouvidoria do Hospital Regional Do Gama,SES-DF · HRG,Secretaria de Estado de Saúde,"Area Especial, S/N – GAMA",-16.0236,-48.0687,shp,Não,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade', 'Equipe capacitada em acessibilidade']",7,2025,Gama
Ouvidoria do Hospital Regional De Planaltina,SES-DF · HRPL,Secretaria de Estado de Saúde,"Avenida W L 04, S/N – PLANALTINA",-15.6255,-47.6528,shp,Não,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade', 'Equipe capacitada em acessibilidade']",6,2025,Planaltina
Ouvidoria – SEMOB,SEMOB,Secretaria de Estado de Transporte e Mobilidade,"Anexo do Palácio do Buriti, Praça do Buriti",-15.77388876,-47.94153879,validado,Não,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Piso tátil', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Piso tátil', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade', 'Equipe capacitada em acessibilidade']",8,2025,SIA
Ouvidoria – SEMA,SEMA,Secretaria de Estado do Meio Ambiente,"SEPN 511, Bloco C, Edifício Spazio Brasilia, Asa Norte, Plano Piloto, Brasília - DF, 70750-543",-15.7578,-47.8903,validado,Não,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Corrimão nas escadas', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade']","['Estacionamento com vaga reservada para PCD', 'Corrimão nas escadas', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade', 'Equipe capacitada em acessibilidade']",4,2025,Plano Piloto
Ouvidoria – SLU,SLU,Serviço de Limpeza Urbana do DF (SLU),"SCS Quadra 08, Bloco B-60, Edifício Venâncio Shopping, 3º Andar, Plano Piloto, Brasília - DF, 70333-900",-15.7975,-47.8889,validado,Sim,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade', 'Atendimento presencial em Libras', 'Equipe capacitada em acessibilidade']",6,2025,Plano Piloto
Ouvidoria – UNDF,UNDF,Universidade do Distrito Federal Prof. Jorge Amaury (UNDF),"CA 02, Lote 02, Edifício Complexo de Ensino Superior, Lago Norte, Brasília - DF, 71503-502",-15.7369,-47.8864,validado,Não,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Piso tátil', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Piso tátil', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade', 'Equipe capacitada em acessibilidade']",8,2025,Plano Piloto
