nome,sigla,orgao,endereco,lat,lon,fonte,libras,selo,capacitado,itens,acess,n_itens,data,RA
Ouvidoria – RA Núcleo Bandeirante,RA Núcleo Bandeirante,Administração Regional do Núcleo Bandeirante,"Praça Central, Área Especial 01, Núcleo Bandeirante, DF, 71705-510",-15.8703,-47.9622,validado,Sim,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade']","['Estacionamento com vaga reservada para PCD', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade', 'Atendimento presencial em Libras', 'Equipe capacitada em acessibilidade']",3,2025,Núcleo Bandeirante
Ouvidoria – RA Plano Piloto,RA Plano Piloto,Administração Regional do Plano Piloto,"SBN Quadra 2, Bloco K, Edifício Wagner, Asa Norte, Brasília - DF, 70040-020",-15.7925,-47.8825,validado,Não,Sim,Sim,"['Corrimão nas escadas', 'Piso tátil', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade']","['Corrimão nas escadas', 'Piso tátil', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade', 'Equipe capacitada em acessibilidade']",5,2025,Plano Piloto
Ouvidoria – RA Riacho Fundo,RA Riacho Fundo,Administração Regional do Riacho Fundo,"AC 03, Lote 01, QN 07, Riacho Fundo I, DF, 71810-300",-15.8814,-48.0169,validado,Não,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Piso tátil', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Piso tátil', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade', 'Equipe capacitada em acessibilidade']",8,2025,Riacho Fundo
Ouvidoria – RA Riacho Fundo II,RA Riacho Fundo II,Administração Regional do Riacho Fundo II,"QN 8A, Conjunto 01, Lote 01, Riacho Fundo II, DF, 71882-005",-15.8953,-48.0433,validado,Sim,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade', 'Atendimento presencial em Libras', 'Equipe capacitada em acessibilidade']",5,2025,Riacho Fundo II
Ouvidoria – RA SCIA/Estrutural,RA SCIA/Estrutural,Administração Regional do SCIA,"Setor Central, Área Especial nº 05, Vila Estrutural, SCIA, DF, 71255-000",-15.7878,-47.9856,validado,Sim,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade', 'Atendimento presencial em Libras', 'Equipe capacitada em acessibilidade']",7,2025,SCIA
Ouvidoria – RA SIA,RA SIA,Administração Regional do SIA,"SIA Trecho 5, Lote 10, SIA, Brasília - DF, 71200-050",-15.8169,-47.9514,validado,Não,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Piso antiderrapante', 'Banheiro adaptado']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Piso antiderrapante', 'Banheiro adaptado', 'Equipe capacitada em acessibilidade']",6,2025,SIA
Ouvidoria – RA Sol Nascente/  Pôr do Sol,RA Sol Nascente/  Pôr do Sol,Administração Regional do Sol Nascente/Pôr do Sol,"Trecho 02, Quadra 202, Conjunto A, Lote 01, Sol Nascente, Ceilândia - DF, 72280-000",-15.8206,-48.125,validado,Não,Não,Não,['Rampa de acesso'],['Rampa de acesso'],1,2025,Sol Nascente/  Pôr do Sol
Ouvidoria – RA Sudoeste/ Octogonal,RA Sudoeste/ Octogonal,Administração Regional do Sudoeste/Octogonal,"SIG Quadra 06, Lote 1485, Sudoeste/Octogonal, Brasília - DF, 70610-460",-15.8011,-47.9236,validado,Não,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Piso tátil', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Piso tátil', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade', 'Equipe capacitada em acessibilidade']",8,2025,Sudoeste/ Octogonal
Ouvidoria – ADASA,ADASA,Agência Reguladora de Águas e Saneamento do DF (ADASA),"Estação Rodoferroviária, Ala Central, Sobreloja, Setor de Áreas Isoladas Sudoeste - SAISO, Brasília - DF, 70631-900",-15.8078,-47.9431,validado,Não,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão nas escadas', 'Piso tátil', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão nas escadas', 'Piso tátil', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade', 'Equipe capacitada em acessibilidade']",7,2025,Sudoeste/ Octogonal
Ouvidoria – BRB,BRB,Banco de Brasília (BRB),"Centro Financeiro BRB, SBS Quadra 1, Bloco E, Edifício Brasília, Plano Piloto, Brasília - DF, 70072-900",-15.7972,-47.8828,validado,Sim,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Piso tátil', 'Piso antiderrapante', 'Banheiro adaptado']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Piso tátil', 'Piso antiderrapante', 'Banheiro adaptado', 'Atendimento presencial em Libras', 'Equipe capacitada em acessibilidade']",7,2025,Plano Piloto
Ouvidoria – CC,CC,Casa Civil,"Palácio do Buriti, Praça do Buriti, Zona Cívico-Administrativa, Plano Piloto, Brasília - DF, 70075-900",-15.7836,-47.9078,validado,Não,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Piso tátil', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Piso tátil', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade', 'Equipe capacitada em acessibilidade']",8,2025,Plano Piloto
Ouvidoria – CM,CM,Casa Militar,"Palácio do Buriti, Praça do Buriti, Zona Cívico-Administrativa, Plano Piloto, Brasília - DF, 70075-900",-15.7836,-47.9078,validado,Não,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Piso tátil', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Piso tátil', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade', 'Equipe capacitada em acessibilidade']",8,2025,Plano Piloto
Ouvidoria – CEASA-DF,CEASA-DF,Centrais de Abastecimento do Distrito Federal (CEASA),"SIA Trecho 10, Lote 5",-15.79132019,-47.94889771,validado,Não,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão nas escadas', 'Piso tátil', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão nas escadas', 'Piso tátil', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade', 'Equipe capacitada em acessibilidade']",6,2025,SIA
Ouvidoria – CAESB,CAESB,Companhia de Saneamento Ambiental do DF (CAESB),"Av. Sibipiruna, Lotes 13/21, Águas Claras",-15.84560132,-48.03435696,validado,Sim,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade', 'Atendimento presencial em Libras', 'Equipe capacitada em acessibilidade']",7,2025,Águas Claras
